t,R_P,R_Z,T_P,T_Z,T,U,I,C_p,C_V
0.0,24.3,23.4,86.714,84.59,85.652,12.68,121.0,21.728,21.653
1.5,24.8,23.4,87.895,84.59,86.243,12.74,121.6,15.66,15.582
3.0,25.5,23.5,89.549,84.826,87.188,12.77,121.9,15.723,15.641
4.5,26.2,23.8,91.205,85.534,88.369,12.78,122.0,18.36,18.274
6.0,26.8,24.2,92.625,86.478,89.552,12.78,122.0,15.725,15.636
7.5,27.5,24.7,94.283,87.659,90.971,12.82,122.3,15.801,15.706
9.0,28.2,25.5,95.943,89.549,92.746,12.84,122.4,13.847,13.746
10.5,29.0,26.2,97.841,91.205,94.523,12.85,122.6,18.493,18.387
12.0,29.6,27.2,99.266,93.573,96.419,12.87,122.6,18.509,18.398
13.5,30.2,28.1,100.691,95.706,98.199,12.88,122.7,18.526,18.409
15.0,30.8,29.0,102.118,97.841,99.979,12.88,122.7,18.513,18.392
16.5,31.4,29.9,103.546,99.978,101.762,12.89,122.8,15.882,15.755
18.0,32.1,30.8,105.212,102.118,103.665,12.9,122.8,18.53,18.396
19.5,32.7,32.0,106.642,104.974,105.808,12.91,122.9,18.547,18.408
21.0,33.3,33.0,108.073,107.357,107.715,12.92,122.9,18.549,18.402
22.5,33.9,34.5,109.504,110.937,110.221,12.92,123.0,15.9,15.747
24.0,34.6,35.6,111.176,113.566,112.371,12.93,123.0,15.9,15.74
25.5,35.3,36.7,112.849,116.198,114.523,12.94,123.0,18.551,18.386
27.0,35.9,37.6,114.283,118.354,116.319,12.94,123.1,15.902,15.731
28.5,36.6,38.2,115.959,119.793,117.876,12.95,123.1,13.913,13.737
30.0,37.4,38.3,117.875,120.032,118.954,12.95,123.1,22.245,22.066
31.5,37.9,38.4,119.073,120.272,119.673,12.96,123.2,18.556,18.373
33.0,38.5,38.5,120.512,120.512,120.512,12.96,123.2,15.893,15.706
34.5,39.2,38.7,122.192,120.992,121.592,12.97,123.2,22.253,22.061
36.0,39.7,39.0,123.393,121.712,122.553,12.97,123.2,18.533,18.337
